structure,pdb,fv,success,reason_for_failure,location_of_failure
3n9g_H0-L0,3n9g,H0-L0,True,,
3na9_H0-L0,3na9,H0-L0,True,,
3naa_H0-L0,3naa,H0-L0,True,,
3nab_H0-L0,3nab,H0-L0,True,,
3nac_H0-L0,3nac,H0-L0,True,,
3ncj_H0-L0,3ncj,H0-L0,True,,
3ncy_Q0-W0,3ncy,Q0-W0,True,,
3ncy_P0-S0,3ncy,P0-S0,True,,
2eh7_H0-L0,2eh7,H0-L0,True,,
3ngb_H0-L0,3ngb,H0-L0,True,,
3ngb_B0-C0,3ngb,B0-C0,True,,
3ngb_E0-F0,3ngb,E0-F0,True,,
3ngb_J0-K0,3ngb,J0-K0,True,,
8dgu_H0-L0,8dgu,H0-L0,True,,
3nid_E0-F0,3nid,E0-F0,True,,
3nid_H0-L0,3nid,H0-L0,True,,
3nif_E0-F0,3nif,E0-F0,True,,
3nif_H0-L0,3nif,H0-L0,True,,
3nig_E0-F0,3nig,E0-F0,True,,
3nig_H0-L0,3nig,H0-L0,True,,
3ntc_H0-L0,3ntc,H0-L0,True,,
3nz8_A0-B0,3nz8,A0-B0,True,,
3nz8_H0-L0,3nz8,H0-L0,True,,
3nzh_H0-L0,3nzh,H0-L0,True,,
5nbd_C0,5nbd,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
2otu_B0-A0,2otu,B0-A0,True,,
2otu_F0-E0,2otu,F0-E0,True,,
2otu_H0-G0,2otu,H0-G0,True,,
2otu_D0-C0,2otu,D0-C0,True,,
3o0r_H0-L0,3o0r,H0-L0,True,,
3o11_B0-A0,3o11,B0-A0,True,,
3o11_H0-L0,3o11,H0-L0,True,,
3o2d_H0-L0,3o2d,H0-L0,True,,
4oii_I0-M0,4oii,I0-M0,True,,
4oii_H0-L0,4oii,H0-L0,True,,
3o2v_H0-L0,3o2v,H0-L0,True,,
3o2w_H0-L0,3o2w,H0-L0,True,,
3o41_H0-L0,3o41,H0-L0,True,,
3o41_A0-B0,3o41,A0-B0,True,,
3o45_H0-L0,3o45,H0-L0,True,,
3o45_A0-B0,3o45,A0-B0,True,,
3o6k_H0-L0,3o6k,H0-L0,True,,
3o6l_H0-L0,3o6l,H0-L0,True,,
3oay_M0-K0,3oay,M0-K0,True,,
3oay_H0-L0,3oay,H0-L0,True,,
3oaz_H0-L0,3oaz,H0-L0,True,,
3oaz_M0-K0,3oaz,M0-K0,True,,
3ob0_H0-L0,3ob0,H0-L0,True,,
3ob0_M0-K0,3ob0,M0-K0,True,,
3ogc_A0-B0,3ogc,A0-B0,True,,
2ymx_H0-L0,2ymx,H0-L0,True,,
2ypv_H0-L0,2ypv,H0-L0,True,,
2qqk_H0-L0,2qqk,H0-L0,True,,
3l5x_H0-L0,3l5x,H0-L0,True,,
3l7e_H0-L0,3l7e,H0-L0,True,,
3l7e_B0-A0,3l7e,B0-A0,True,,
3l7f_H0-L0,3l7f,H0-L0,True,,
3l7f_B0-A0,3l7f,B0-A0,True,,
3l7f_E0-D0,3l7f,E0-D0,True,,
3l95_B0-A0,3l95,B0-A0,True,,
3l95_H0-L0,3l95,H0-L0,True,,
3ld8_C0-B0,3ld8,C0-B0,True,,
4ldl_B0,4ldl,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
3ldb_C0-B0,3ldb,C0-B0,True,,
3lev_H0-L0,3lev,H0-L0,True,,
3lex_H0-L0,3lex,H0-L0,True,,
3lex_A0-B0,3lex,A0-B0,True,,
4odx_A0-L0,4odx,A0-L0,True,,
4odx_H0-B0,4odx,H0-B0,True,,
3ley_H0-L0,3ley,H0-L0,True,,
3lh2_J0-N0,3lh2,J0-N0,True,,
3lh2_H0-L0,3lh2,H0-L0,True,,
3lh2_I0-M0,3lh2,I0-M0,True,,
3lh2_K0-O0,3lh2,K0-O0,True,,
3lhp_H0-L0,3lhp,H0-L0,True,,
3lhp_I0-M0,3lhp,I0-M0,True,,
3liz_H0-L0,3liz,H0-L0,True,,
2r2b_B0-A0,2r2b,B0-A0,True,,
3lmj_H0-L0,3lmj,H0-L0,True,,
8emz_B0,8emz,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
3lqa_H0-L0,3lqa,H0-L0,True,,
5mth_H0-L0,5mth,H0-L0,True,,
5mth_A0-B0,5mth,A0-B0,True,,
3lrg_A0,3lrg,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
3lrg_B0,3lrg,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
3lrh_G0,3lrh,G0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
3lrh_I0,3lrh,I0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
3lrh_K0,3lrh,K0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
3lrh_M0,3lrh,M0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
3lrh_O0,3lrh,O0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
3lrh_A0,3lrh,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
3lrh_C0,3lrh,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
3lrh_E0,3lrh,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
3lrs_C0-D0,3lrs,C0-D0,True,,
3lrs_H0-L0,3lrs,H0-L0,True,,
3lrs_A0-B0,3lrs,A0-B0,True,,
3lrs_E0-F0,3lrs,E0-F0,True,,
3ls4_H0-L0,3ls4,H0-L0,True,,
3ls5_H0-L0,3ls5,H0-L0,True,,
3lve_A0,3lve,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
3lzf_H0-L0,3lzf,H0-L0,True,,
7uny_B0,7uny,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7uny_C0,7uny,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
3ma9_H0-L0,3ma9,H0-L0,True,,
3mac_H0-L0,3mac,H0-L0,True,,
3mbx_H0-L0,3mbx,H0-L0,True,,
3mck_H0-L0,3mck,H0-L0,True,,
3mck_B0-A0,3mck,B0-A0,True,,
3mcl_H0-L0,3mcl,H0-L0,True,,
4oga_C0-D0,4oga,C0-D0,True,,
4ogy_H0-L0,4ogy,H0-L0,True,,
4ogy_M0-N0,4ogy,M0-N0,True,,
1qlr_B0-A0,1qlr,B0-A0,True,,
1qlr_D0-C0,1qlr,D0-C0,True,,
3mj8_H0-L0,3mj8,H0-L0,True,,
3mj8_B0-A0,3mj8,B0-A0,True,,
3mj9_H0-L0,3mj9,H0-L0,True,,
3mlr_H0-L0,3mlr,H0-L0,True,,
3mls_H0-L0,3mls,H0-L0,True,,
3mls_J0-N0,3mls,J0-N0,True,,
3mls_K0-O0,3mls,K0-O0,True,,
3mls_I0-M0,3mls,I0-M0,True,,
3mlt_B0-A0,3mlt,B0-A0,True,,
3mlt_E0-D0,3mlt,E0-D0,True,,
3mlt_I0-G0,3mlt,I0-G0,True,,
3mlt_H0-L0,3mlt,H0-L0,True,,
3mlu_H0-L0,3mlu,H0-L0,True,,
3mlv_H0-L0,3mlv,H0-L0,True,,
3mlv_N0-M0,3mlv,N0-M0,True,,
5mhe_H0-L0,5mhe,H0-L0,True,,
6idh_H0-L0,6idh,H0-L0,True,,
3mlw_H0-L0,3mlw,H0-L0,True,,
3mlw_I0-M0,3mlw,I0-M0,True,,
3mlx_I0-M0,3mlx,I0-M0,True,,
3mlx_H0-L0,3mlx,H0-L0,True,,
3mly_H0-L0,3mly,H0-L0,True,,
3mly_I0-M0,3mly,I0-M0,True,,
3mlz_H0-L0,3mlz,H0-L0,True,,
6whk_C0-B0,6whk,C0-B0,True,,
3okd_B0-A0,3okd,B0-A0,True,,
3oke_B0-A0,3oke,B0-A0,True,,
3okk_B0-A0,3okk,B0-A0,True,,
3okn_B0-A0,3okn,B0-A0,True,,
5nbi_H0-L0,5nbi,H0-L0,True,,
3oko_B0-A0,3oko,B0-A0,True,,
3opz_H0-L0,3opz,H0-L0,True,,
3opz_I0-M0,3opz,I0-M0,True,,
3opz_J0-N0,3opz,J0-N0,True,,
3or6_A0-B0,3or6,A0-B0,True,,
6iut_H0-L0,6iut,H0-L0,True,,
3oz9_H0-L0,3oz9,H0-L0,True,,
3p0g_B0,3p0g,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4ldo_B0,4ldo,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4leo_A0-B0,4leo,A0-B0,True,,
3p11_H0-L0,3p11,H0-L0,True,,
3p30_H0-L0,3p30,H0-L0,True,,
3p9w_B0,3p9w,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
3p9w_D0,3p9w,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
3p9w_F0,3p9w,F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
3p9w_H0,3p9w,H0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7bu6_B0,7bu6,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
3pgf_H0-L0,3pgf,H0-L0,True,,
3pho_B0-A0,3pho,B0-A0,True,,
3piq_H0-L0,3piq,H0-L0,True,,
3piq_A0-B0,3piq,A0-B0,True,,
3piq_C0-D0,3piq,C0-D0,True,,
3piq_E0-F0,3piq,E0-F0,True,,
3piq_G0-I0,3piq,G0-I0,True,,
3piq_J0-K0,3piq,J0-K0,True,,
3pjs_B0-A0,3pjs,B0-A0,True,,
3pjs_D0-C0,3pjs,D0-C0,True,,
3pnw_B0-A0,3pnw,B0-A0,True,,
3pnw_K0-J0,3pnw,K0-J0,True,,
3pnw_Q0-P0,3pnw,Q0-P0,True,,
3pnw_T0-S0,3pnw,T0-S0,True,,
3pnw_E0-D0,3pnw,E0-D0,True,,
3pnw_H0-G0,3pnw,H0-G0,True,,
3pnw_N0-M0,3pnw,N0-M0,True,,
3pnw_W0-V0,3pnw,W0-V0,True,,
3pp3_H0-L0,3pp3,H0-L0,True,,
3pp3_I0-K0,3pp3,I0-K0,True,,
3pp4_H0-L0,3pp4,H0-L0,True,,
3q1s_H0-L0,3q1s,H0-L0,True,,
3q3g_D0-C0,3q3g,D0-C0,True,,
3q3g_B0-A0,3q3g,B0-A0,True,,
3q3g_H0-F0,3q3g,H0-F0,True,,
3q3g_K0-J0,3q3g,K0-J0,True,,
3q6f_H0-G0,3q6f,H0-G0,True,,
3q6f_B0-A0,3q6f,B0-A0,True,,
3q6f_D0-C0,3q6f,D0-C0,True,,
3q6f_F0-E0,3q6f,F0-E0,True,,
3q6f_J0-I0,3q6f,J0-I0,True,,
3q6f_L0-K0,3q6f,L0-K0,True,,
3q6g_H0-L0,3q6g,H0-L0,True,,
3q6g_I0-M0,3q6g,I0-M0,True,,
7chc_H0-L0,7chc,H0-L0,True,,
7chc_A0-B0,7chc,A0-B0,True,,
3qa3_B0-A0,3qa3,B0-A0,True,,
3qa3_K0-J0,3qa3,K0-J0,True,,
3qa3_D0-C0,3qa3,D0-C0,True,,
3qa3_H0-F0,3qa3,H0-F0,True,,
3qct_H0-L0,3qct,H0-L0,True,,
3qcu_H0-L0,3qcu,H0-L0,True,,
3qcu_I0-M0,3qcu,I0-M0,True,,
3qcv_H0-L0,3qcv,H0-L0,True,,
3qcv_I0-M0,3qcv,I0-M0,True,,
3bdy_H0-L0,3bdy,H0-L0,True,,
3qeg_H0-L0,3qeg,H0-L0,True,,
3qeh_A0-B0,3qeh,A0-B0,True,,
3qeh_C0-D0,3qeh,C0-D0,True,,
3qeh_E0-F0,3qeh,E0-F0,True,,
3qeh_G0-H0,3qeh,G0-H0,True,,
3qg6_B0-A0,3qg6,B0-A0,True,,
3qg6_H0-L0,3qg6,H0-L0,True,,
3bj9_10,3bj9,10,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
4okv_A0-B0,4okv,A0-B0,True,,
4okv_C0-D0,4okv,C0-D0,True,,
4olu_H0-L0,4olu,H0-L0,True,,
3qg7_H0-L0,3qg7,H0-L0,True,,
3qhf_H0-L0,3qhf,H0-L0,True,,
3qhz_H0-L0,3qhz,H0-L0,True,,
3qhz_I0-M0,3qhz,I0-M0,True,,
8en0_D0,8en0,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4olv_H0-L0,4olv,H0-L0,True,,
3qnz_B0-A0,3qnz,B0-A0,True,,
3qo0_B0-A0,3qo0,B0-A0,True,,
7unz_C0,7unz,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7unz_A0,7unz,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4olw_H0-L0,4olw,H0-L0,True,,
3qpq_H0-L0,3qpq,H0-L0,True,,
3qpq_F0-E0,3qpq,F0-E0,True,,
3qpq_D0-C0,3qpq,D0-C0,True,,
3qpq_J0-I0,3qpq,J0-I0,True,,
7a65_C0-B0,7a65,C0-B0,True,,
7a69_C0-B0,7a69,C0-B0,True,,
7a6c_C0-B0,7a6c,C0-B0,True,,
7a6e_C0-B0,7a6e,C0-B0,True,,
7a6f_C0-B0,7a6f,C0-B0,True,,
7a6o_B0,7a6o,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5ewi_H0-L0,5ewi,H0-L0,True,,
7aej_D0,7aej,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7ah1_A0,7ah1,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7ah1_A1,7ah1,A1,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
7ahu_H0-L0,7ahu,H0-L0,True,,
7ahu_B0-A0,7ahu,B0-A0,True,,
7ahv_A0-B0,7ahv,A0-B0,True,,
7aj6_H0-L0,7aj6,H0-L0,True,,
7akj_G0-F0,7akj,G0-F0,True,,
7akj_E0-D0,7akj,E0-D0,True,,
7akj_H0-L0,7akj,H0-L0,True,,
7amp_H0-L0,7amp,H0-L0,True,,
7amq_H0-L0,7amq,H0-L0,True,,
7amr_H0-L0,7amr,H0-L0,True,,
7ams_H0-L0,7ams,H0-L0,True,,
7anq_B0,7anq,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7apj_B0,7apj,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7aqg_B0,7aqg,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7aqg_C0,7aqg,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7aql_B0-B1,7aql,B0-B1,True,,
7aql_A0-A1,7aql,A0-A1,True,,
7aql_C0-C1,7aql,C0-C1,True,,
7aql_D0-D1,7aql,D0-D1,True,,
7aqx_C0,7aqx,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7aqx_D0,7aqx,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7aqy_D0,7aqy,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7aqy_C0,7aqy,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7aqz_C0,7aqz,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7aqz_D0,7aqz,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7ar0_B0,7ar0,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7arn_H0-L0,7arn,H0-L0,True,,
7aue_S0-S1,7aue,S0-S1,True,,
7azb_B0,7azb,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7b09_H0-L0,7b09,H0-L0,True,,
7b14_D0,7b14,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6n50_E0,6n50,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6n51_C0,6n51,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6n51_D0,6n51,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7b17_B0,7b17,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7b17_B1,7b17,B1,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7b18_D0,7b18,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7b18_F0,7b18,F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7b18_H0,7b18,H0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7b18_I0,7b18,I0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7b18_E0,7b18,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7b18_G0,7b18,G0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7b27_CCC0,7b27,CCC0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7b27_DDD0,7b27,DDD0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7b2m_D0,7b2m,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7b2p_D0,7b2p,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7b2q_D0,7b2q,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7b3o_H0-L0,7b3o,H0-L0,True,,
7b5g_B0,7b5g,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7b5g_D0,7b5g,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7b5g_F0,7b5g,F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7b5g_H0,7b5g,H0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6suz_H0-L0,6suz,H0-L0,True,,
7bb6_B0,7bb6,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7bb7_G0,7bb7,G0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7bbg_H0-L0,7bbg,H0-L0,True,,
7kn7_H0-L0,7kn7,H0-L0,True,,
7kn7_B0,7kn7,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7kpb_H0-L0,7kpb,H0-L0,True,,
7kpg_H0-L0,7kpg,H0-L0,True,,
7bc6_B0,7bc6,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7bc7_B0,7bc7,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7beh_H0-L0,7beh,H0-L0,True,,
7oao_FFF0,7oao,FFF0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7oap_FFF0,7oap,FFF0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7oap_AAA0,7oap,AAA0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
1rur_H0-L0,1rur,H0-L0,True,,
5f7k_C0,5f7k,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5f7k_D0,5f7k,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7oaq_AAA0,7oaq,AAA0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7oaq_FFF0,7oaq,FFF0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7oau_BBB0,7oau,BBB0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7oau_FFF0,7oau,FFF0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7oay_DDD0,7oay,DDD0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7oay_HHH0,7oay,HHH0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7oay_JJJ0,7oay,JJJ0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7oay_LLL0,7oay,LLL0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7oay_BBB0,7oay,BBB0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7oay_FFF0,7oay,FFF0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8dok_C0-D0,8dok,C0-D0,True,,
8dok_G0-H0,8dok,G0-H0,True,,
8dok_K0-L0,8dok,K0-L0,True,,
8dok_M0-N0,8dok,M0-N0,True,,
8dok_O0-P0,8dok,O0-P0,True,,
8dok_Q0-R0,8dok,Q0-R0,True,,
7obf_A0-B0,7obf,A0-B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH-VH'.,VH-VL check
7ocj_G0,7ocj,G0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7ocj_E0,7ocj,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7ocj_B0,7ocj,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7ocj_H0,7ocj,H0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
