structure,resolution_high,abangle_HL_outlier,abangle_HC1_outlier,abangle_HC2_outlier,abangle_LC1_outlier,abangle_LC2_outlier,abangle_dc_outlier,cdrh3_high,cdr_high,rare_species,exclude
3mxv_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3mxw_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3n85_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3n9g_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3na9_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3naa_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3nab_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3nac_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3ncj_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3ncy_Q0-W0,False,False,False,False,False,False,False,False,False,False,False
3ncy_P0-S0,False,False,False,False,False,False,False,False,False,False,False
3ngb_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3ngb_B0-C0,False,False,False,False,False,False,False,False,False,False,False
3ngb_E0-F0,False,False,False,False,False,False,False,False,False,False,False
3ngb_J0-K0,False,False,False,False,False,False,False,False,False,False,False
3nid_E0-F0,False,False,False,False,False,False,False,False,False,False,False
3nid_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3nif_E0-F0,False,False,False,False,False,False,False,False,False,False,False
3nif_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3nig_E0-F0,False,False,False,False,False,False,False,False,False,False,False
3nig_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3ntc_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3nz8_A0-B0,False,False,False,False,False,False,False,False,False,False,False
3nz8_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3nzh_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3o0r_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3o11_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3o11_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3o2d_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3o2v_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3o2w_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3o41_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3o41_A0-B0,False,False,False,False,False,False,False,False,False,False,False
3o45_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3o45_A0-B0,False,False,False,False,False,False,False,False,False,False,False
3o6k_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3o6l_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3oay_M0-K0,False,False,False,False,False,False,False,False,False,False,False
3oay_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3oaz_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3oaz_M0-K0,False,False,False,False,False,False,False,False,False,False,False
3ob0_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3ob0_M0-K0,False,False,False,False,False,False,False,False,False,False,False
3ogc_A0-B0,True,False,False,False,False,False,False,False,False,False,True
4oii_I0-M0,False,False,False,False,False,False,False,False,False,False,False
4oii_H0-L0,False,False,False,False,False,False,False,False,False,False,False
6jwc_H0-L0,False,False,False,False,False,False,False,False,False,False,False
8dgu_H0-L0,False,False,False,False,False,False,False,False,False,False,False
1qlr_B0-A0,False,False,False,False,False,False,False,False,False,False,False
1qlr_D0-C0,False,False,False,False,False,False,False,False,False,False,False
2qqk_H0-L0,False,False,False,False,False,False,False,False,False,False,False
2r2b_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3l5x_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3l7e_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3l7e_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3l7f_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3l7f_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3l7f_E0-D0,False,False,False,False,False,False,False,False,False,False,False
3l95_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3l95_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3ld8_C0-B0,False,False,False,False,False,False,False,False,False,True,True
3ldb_C0-B0,False,False,False,False,False,False,False,False,False,True,True
3lev_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3lex_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3lex_A0-B0,False,False,False,False,False,False,False,False,False,False,False
3ley_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3lh2_J0-N0,False,False,False,False,False,False,False,False,False,False,False
3lh2_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3lh2_I0-M0,False,False,False,False,False,False,False,False,False,False,False
3lh2_K0-O0,False,False,False,False,False,False,False,False,False,False,False
3lhp_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3lhp_I0-M0,False,False,False,False,False,False,False,False,False,False,False
3liz_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3lmj_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3lqa_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3lrs_C0-D0,False,False,False,False,False,False,False,True,False,False,True
3lrs_H0-L0,False,False,False,False,False,False,False,True,False,False,True
3lrs_A0-B0,False,False,False,False,False,False,False,True,False,False,True
3lrs_E0-F0,False,False,False,False,False,False,False,True,False,False,True
3ls4_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3ls5_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3lzf_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3ma9_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3mac_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3mbx_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3mck_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3mck_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3mcl_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3mj8_H0-L0,False,False,False,False,False,False,False,False,False,True,True
3mj8_B0-A0,False,False,False,False,False,False,False,False,False,True,True
3mj9_H0-L0,False,False,False,False,False,False,False,False,False,True,True
3mlr_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3mls_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3mls_J0-N0,False,False,False,False,False,False,False,False,False,False,False
3mls_K0-O0,False,False,False,False,False,False,False,False,False,False,False
3mls_I0-M0,False,False,False,False,False,False,False,False,False,False,False
3mlt_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3mlt_E0-D0,False,False,False,False,False,False,False,False,False,False,False
3mlt_I0-G0,False,False,False,False,False,False,False,False,False,False,False
3mlt_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3mlu_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3mlv_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3mlv_N0-M0,False,False,False,False,False,False,False,False,False,False,False
3mlw_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3mlw_I0-M0,False,False,False,False,False,False,False,False,False,False,False
3mlx_I0-M0,False,False,False,False,False,False,False,False,False,False,False
3mlx_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3mly_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3mly_I0-M0,False,False,False,False,False,False,False,False,False,False,False
3mlz_H0-L0,False,False,False,False,False,False,False,False,False,False,False
4odx_A0-L0,False,False,False,False,False,False,False,False,False,False,False
4odx_H0-B0,False,False,False,False,False,False,False,False,False,False,False
4oga_C0-D0,False,False,False,False,False,False,False,False,False,False,False
4ogy_H0-L0,False,False,False,False,False,False,False,False,False,False,False
4ogy_M0-N0,False,False,False,False,False,False,False,False,False,False,False
5mhe_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5mth_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5mth_A0-B0,False,False,False,False,False,False,False,False,False,False,False
6idh_H0-L0,False,False,False,False,False,False,False,False,False,False,False
6whk_C0-B0,False,False,False,False,False,False,False,False,False,False,False
3bdy_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3okd_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3oke_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3okk_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3okn_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3oko_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3opz_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3opz_I0-M0,False,False,False,False,False,False,False,False,False,False,False
3opz_J0-N0,False,False,False,False,False,False,False,False,False,False,False
3or6_A0-B0,False,False,False,False,False,False,False,False,False,False,False
3oz9_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3p11_H0-L0,True,False,False,False,False,False,False,False,False,False,True
3p30_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3pgf_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3pho_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3piq_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3piq_A0-B0,False,False,False,False,False,False,False,False,False,False,False
3piq_C0-D0,False,False,False,False,False,False,False,False,False,False,False
3piq_E0-F0,False,False,False,False,False,False,False,False,False,False,False
3piq_G0-I0,False,False,False,False,False,False,False,False,False,False,False
3piq_J0-K0,False,False,False,False,False,False,False,False,False,False,False
3pjs_B0-A0,True,False,False,False,False,False,False,False,False,False,True
3pjs_D0-C0,True,False,False,False,False,False,False,False,False,False,True
3pnw_B0-A0,False,False,False,False,False,False,False,False,False,True,True
3pnw_K0-J0,False,False,False,False,False,False,False,False,False,True,True
3pnw_Q0-P0,False,False,False,False,False,False,False,False,False,True,True
3pnw_T0-S0,False,False,False,False,False,False,False,False,False,True,True
3pnw_E0-D0,False,False,False,False,False,False,False,False,False,True,True
3pnw_H0-G0,False,False,False,False,False,False,False,False,False,True,True
3pnw_N0-M0,False,False,False,False,False,False,False,False,False,True,True
3pnw_W0-V0,False,False,False,False,False,False,False,False,False,True,True
3pp3_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3pp3_I0-K0,False,False,False,False,False,False,False,False,False,False,False
3pp4_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3q1s_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3q3g_D0-C0,False,False,False,False,False,False,False,False,False,False,False
3q3g_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3q3g_H0-F0,False,False,False,False,False,False,False,False,False,False,False
3q3g_K0-J0,False,False,False,False,False,False,False,False,False,False,False
3q6f_H0-G0,False,False,False,False,False,False,False,False,False,False,False
3q6f_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3q6f_D0-C0,False,False,False,False,False,False,False,False,False,False,False
3q6f_F0-E0,False,False,False,False,False,False,False,False,False,False,False
3q6f_J0-I0,False,False,False,False,False,False,False,False,False,False,False
3q6f_L0-K0,False,False,False,False,False,False,False,False,False,False,False
3q6g_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3q6g_I0-M0,False,False,False,False,False,False,False,False,False,False,False
3qa3_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3qa3_K0-J0,False,False,False,False,False,False,False,False,False,False,False
3qa3_D0-C0,False,False,False,False,False,False,False,False,False,False,False
3qa3_H0-F0,False,False,False,False,False,False,False,False,False,False,False
3qct_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3qcu_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3qcu_I0-M0,False,False,False,False,False,False,False,False,False,False,False
3qcv_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3qcv_I0-M0,False,False,False,False,False,False,False,False,False,False,False
3qeg_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3qeh_A0-B0,False,False,False,False,False,False,False,False,False,False,False
3qeh_C0-D0,False,False,False,False,False,False,False,False,False,False,False
3qeh_E0-F0,False,False,False,False,False,False,False,False,False,False,False
3qeh_G0-H0,False,False,False,False,False,False,False,False,False,False,False
3qg6_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3qg6_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3qg7_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3qhf_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3qhz_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3qhz_I0-M0,False,False,False,False,False,False,False,False,False,False,False
3qnz_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3qo0_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3qpq_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3qpq_F0-E0,False,False,False,False,False,False,False,False,False,False,False
3qpq_D0-C0,False,False,False,False,False,False,False,False,False,False,False
3qpq_J0-I0,False,False,False,False,False,False,False,False,False,False,False
4leo_A0-B0,False,False,False,False,False,False,False,False,False,False,False
4okv_A0-B0,False,False,False,False,False,False,False,False,False,False,False
4okv_C0-D0,False,False,False,False,False,False,False,False,False,False,False
4olu_H0-L0,False,False,False,False,False,False,False,False,False,False,False
4olv_H0-L0,False,False,False,False,False,False,False,False,False,False,False
4olw_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5nbi_H0-L0,False,False,False,False,False,False,False,False,False,False,False
6iut_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7chc_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7chc_A0-B0,False,False,False,False,False,False,False,False,False,False,False
5ewi_H0-L0,False,False,False,False,False,False,False,False,False,False,False
6suz_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7a65_C0-B0,True,False,False,False,False,False,False,False,False,False,True
7a69_C0-B0,False,False,False,False,False,False,False,False,False,False,False
7a6c_C0-B0,True,False,False,False,False,False,False,False,False,False,True
7a6e_C0-B0,True,False,False,False,False,False,False,False,False,False,True
7a6f_C0-B0,False,False,False,False,False,False,False,False,False,False,False
7ahu_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7ahu_B0-A0,False,False,False,False,False,False,False,False,False,False,False
7ahv_A0-B0,False,False,False,False,False,False,False,False,False,False,False
7aj6_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7akj_G0-F0,True,False,False,False,False,False,False,False,False,False,True
7akj_E0-D0,True,False,False,False,False,False,False,False,False,False,True
7akj_H0-L0,True,False,False,False,False,False,False,False,False,False,True
7amp_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7amq_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7amr_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7ams_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7aql_B0-B1,False,False,False,False,False,False,False,False,False,False,False
7aql_A0-A1,False,False,False,False,False,False,False,False,False,False,False
7aql_C0-C1,False,False,False,False,False,False,False,False,False,False,False
7aql_D0-D1,False,False,False,False,False,False,False,False,False,False,False
7arn_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7aue_S0-S1,False,False,False,False,False,False,False,False,False,False,False
7b09_H0-L0,True,False,False,False,False,False,False,False,False,True,True
7b3o_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7bbg_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7beh_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7kn7_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7kpb_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7kpg_H0-L0,False,False,False,False,False,False,False,False,False,False,False
1fgn_H0-L0,False,False,False,False,False,False,False,False,False,False,False
1fgv_H0-L0,False,False,False,False,False,False,False,False,False,False,False
1fh5_H0-L0,False,False,False,False,False,False,False,False,False,False,False
1fig_H0-L0,False,False,False,False,False,False,False,False,False,False,False
1rur_H0-L0,False,False,False,False,False,False,False,False,False,False,False
1rvf_H0-L0,True,False,False,False,False,False,False,False,False,False,True
1rz7_H0-L0,False,False,False,False,False,False,False,False,False,False,False
1rz8_B0-A0,False,False,False,False,False,False,False,False,False,False,False
1rz8_D0-C0,False,False,False,False,False,False,False,False,False,False,False
1ub5_H0-L0,False,False,False,False,False,False,False,False,False,False,False
1ub5_A0-B0,False,False,False,False,False,False,False,False,False,False,False
7cm4_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7cqc_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7oh0_C0-B0,True,False,False,False,False,False,False,False,False,False,True
7oh1_E0-D0,True,False,False,False,False,False,False,False,False,False,True
7oly_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7oo2_A0-B0,False,False,False,False,False,False,False,False,False,False,False
7oo2_C0-D0,False,False,False,False,False,False,False,False,False,False,False
7or9_A0-B0,False,False,False,False,False,False,False,False,False,False,False
7or9_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7ora_A0-B0,False,False,False,False,False,False,False,False,False,False,False
7ora_D0-E0,False,False,False,False,False,False,False,False,False,False,False
7ora_F0-G0,False,False,False,False,False,False,False,False,False,False,False
7ora_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7orb_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7orb_C0-D0,False,False,False,False,False,False,False,False,False,False,False
7orb_A0-B0,False,False,False,False,False,False,False,False,False,False,False
7orb_E0-F0,False,False,False,False,False,False,False,False,False,False,False
7ow1_H0-K0,False,False,False,False,False,False,False,False,False,False,False
7ox1_E0-F0,False,False,False,False,False,False,False,False,False,False,False
7ox1_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7ox1_A0-B0,False,False,False,False,False,False,False,False,False,False,False
7ox1_C0-D0,False,False,False,False,False,False,False,False,False,False,False
7ox4_A0-B0,False,False,False,False,False,False,False,False,False,False,False
7oxn_H0-K0,False,False,False,False,False,False,False,False,False,False,False
7p00_H0-H1,False,False,False,False,False,False,False,False,False,False,False
7p02_H0-H1,False,False,False,False,False,False,False,False,False,False,False
8dok_C0-D0,False,False,False,False,False,False,False,False,False,False,False
8dok_G0-H0,False,False,False,False,False,False,False,False,False,False,False
8dok_K0-L0,False,False,False,False,False,False,False,False,False,False,False
8dok_M0-N0,False,False,False,False,True,False,False,False,False,False,True
8dok_O0-P0,False,False,False,False,True,False,False,False,False,False,True
8dok_Q0-R0,False,False,False,False,True,False,False,False,False,False,True
5kvf_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5kvg_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5kvl_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5kw9_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5kzc_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5kzc_B0-D0,False,False,False,False,False,False,False,False,False,False,False
5kzc_E0-G0,False,False,False,False,False,False,False,False,False,False,False
5kzp_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5kzp_E0-I0,False,False,False,False,False,False,False,False,False,False,False
5kzp_F0-J0,False,False,False,False,False,False,False,False,False,False,False
5kzp_G0-K0,False,False,False,False,False,False,False,False,False,False,False
5l0q_C0-B0,False,False,False,False,False,False,False,False,False,False,False
5l0q_F0-E0,False,False,False,False,False,False,False,False,False,False,False
5l6y_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5l7x_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5l88_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5l9d_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5lcv_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5ldn_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5lgh_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5ljy_H0-L1,False,False,False,False,False,False,False,False,False,False,False
5lqb_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5lsp_S0-T0,False,False,False,False,False,False,False,False,False,False,False
5lsp_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5lwy_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5lx9_H0-H1,False,False,False,False,False,False,False,False,False,False,False
5lxa_H0-H1,False,False,False,False,False,False,False,False,False,False,False
5lxg_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5m63_H0-L0,False,False,False,False,False,False,False,False,False,False,False
5m63_M0-N0,False,False,False,False,False,False,False,False,False,False,False
5n0a_H0-L0,True,False,False,False,False,False,False,False,False,False,True
5n0a_I0-M0,True,False,False,False,False,False,False,False,False,False,True
5n2k_B0-A0,False,False,False,False,False,False,False,False,False,False,False
5n2k_D0-C0,False,False,False,False,False,False,False,False,False,False,False
5n2k_F0-E0,False,False,False,False,False,False,False,False,False,False,False
5n2k_J0-I0,False,False,False,False,False,False,False,False,False,False,False
5n2k_L0-K0,False,False,False,False,False,False,False,False,False,False,False
5n2k_N0-M0,False,False,False,False,False,False,False,False,False,False,False
5n2k_P0-O0,False,False,False,False,False,False,False,False,False,False,False
5n2k_H0-G0,False,False,False,False,False,False,False,False,False,False,False
5n4j_H0-L0,False,False,False,False,False,False,False,False,False,False,False
2nlj_B0-A0,False,False,False,False,False,False,False,False,False,False,False
2nr6_D0-C0,False,False,False,False,False,False,False,False,False,False,False
2nr6_F0-E0,False,False,False,False,False,False,False,False,False,False,False
2ntf_H0-L0,False,False,False,False,False,False,False,False,False,False,False
2ntf_B0-A0,False,False,False,False,False,False,False,False,False,False,False
2nxy_D0-C0,False,False,False,False,False,False,False,False,False,False,False
2nxz_D0-C0,False,False,False,False,False,False,False,False,False,False,False
2ny0_D0-C0,False,False,False,False,False,False,False,False,False,False,False
2ny1_D0-C0,False,False,False,False,False,False,False,False,False,False,False
2ny2_D0-C0,False,False,False,False,False,False,False,False,False,False,False
2ny3_D0-C0,False,False,False,False,False,False,False,False,False,False,False
2ny4_D0-C0,False,False,False,False,False,False,False,False,False,False,False
2ny5_H0-L0,False,False,False,False,False,False,False,False,False,False,False
2ny6_D0-C0,False,False,False,False,False,False,False,False,False,False,False
