structure,in_legacy,split,legacy_test_split
8e6k_H0-L0,False,train,False
8e6k_E0-I0,False,train,False
8e6k_G0-K0,False,train,False
8e6k_F0-J0,False,train,False
8eqa_H0-L0,False,train,False
8eqa_B0-A0,False,train,False
8e7m_H0-L0,False,train,False
8e8l_H0-L0,False,train,False
8e8r_H0-L0,False,train,False
8e8s_H0-L0,False,train,False
8e8x_H0-L0,False,train,False
8e8y_H0-L0,False,train,False
8e8z_H0-L0,False,train,False
3wbd_B1-B0,True,train,False
3wbd_A1-A0,True,train,False
6pef_D0-E0,True,train,False
6pef_A0-B0,True,train,False
6t3f_H0-L0,True,train,False
6ug7_H0-L0,False,train,False
6ug8_H0-L0,False,train,False
6ug9_H0-L0,False,train,False
6ug9_J0-K0,False,train,False
6ug9_A0-B0,False,train,False
6uga_B0-A0,False,train,False
6uga_H0-L0,False,train,False
7czt_I0-M0,True,train,False
7czt_H0-L0,True,train,False
7czu_J0-N0,True,train,False
7czu_H0-K0,True,train,False
7czv_H0-K0,True,train,False
7czv_I0-M0,True,train,False
7czv_J0-N0,True,train,False
7czx_I0-M0,True,train,False
7czx_H0-K0,True,train,False
7czx_J0-N0,True,train,False
7czy_H0-K0,True,train,False
7czy_J0-N0,True,train,False
7czz_I0-M0,True,train,False
7czz_J0-N0,True,train,False
7czz_H0-K0,True,train,False
6vrq_A0-B0,True,train,False
7kzc_C0-D0,False,train,False
7kzc_H0-L0,False,train,False
7x8q_F0-E0,False,train,False
7x8q_C0-B0,False,train,False
8ekf_HHH0-LLL0,False,train,False
2gki_A0-B1,False,train,False
4glr_J0-K0,True,train,False
4glr_H0-I0,True,train,False
4gms_H0-L0,True,train,False
4gms_I0-M0,True,train,False
4gms_J0-N0,True,train,False
4gmt_H0-L0,True,train,False
4gmt_I0-M0,True,train,False
5i1l_B0-A0,True,valid,False
5i1l_H0-L0,True,unassigned,False
7upk_H0-L0,False,train,False
7upk_C0-F0,False,train,False
7upk_E0-G0,False,train,False
7ven_B0-A0,False,valid,False
8d36_H0-L0,False,valid,False
8d3a_H0-L0,False,train,False
8d6z_A0-B0,False,train,False
8d6z_C0-D0,False,train,False
8d6z_E0-F0,False,train,False
8d6z_G0-I0,False,train,False
8d7e_D0-E0,False,train,False
8d7e_F0-G0,False,train,False
8d9y_B0-A0,False,train,False
8d9y_D0-C0,False,train,False
8d9y_F0-E0,False,train,False
8d9y_H0-G0,False,train,False
8d9z_B0-A0,False,train,False
8da0_B0-A0,False,train,False
8da0_D0-C0,False,train,False
8da1_B0-A0,False,train,False
8dao_A0-B0,False,train,False
8dao_C0-D0,False,train,False
8dcc_H0-L0,False,train,False
7bwj_H0-L0,True,train,False
8de6_B0-I0,False,train,False
8de6_E0-F0,False,train,False
8dfh_H0-L0,False,train,False
8dfi_H0-L0,False,train,False
8dg9_H0-L0,False,valid,False
8dg9_F0-G0,False,unassigned,False
8dg9_D0-E0,False,unassigned,False
8dgw_H0-L0,False,train,False
8dgw_A0-B0,False,train,False
8dgw_C0-D0,False,train,False
8dgw_E0-F0,False,train,False
7ur4_F0-G0,False,train,False
7ur4_H0-L0,False,train,False
7ur4_I0-J0,False,train,False
7urx_H0-L0,False,train,False
8djm_H0-L0,False,train,False
8djk_H0-L0,False,train,False
8dke_A0-B0,False,train,False
8dki_A0-B0,False,train,False
8dkm_A0-B0,False,train,False
8dkw_A0-B0,False,train,False
8dkx_A0-B0,False,train,False
8dkf_H0-L0,False,train,False
8dkf_A0-B0,False,train,False
8dp1_R0-M0,False,train,False
8dp1_E0-F0,False,train,False
8dp1_N0-O0,False,train,False
8dmj_D0-E0,False,train,False
8dmj_H0-L0,False,train,False
7upb_B0-E0,False,train,False
7upb_C0-F0,False,train,False
7upb_H0-L0,False,train,False
8dpz_F0-G0,False,train,False
8ds5_C0-B0,False,train,False
8dt3_H0-L0,False,train,False
8eeu_H0-L0,False,train,False
3dsf_H0-L0,True,train,False
3cxd_H0-L0,True,train,False
8ef1_H0-L0,False,train,False
8ejj_H0-L0,False,train,False
8ejj_I0-J0,False,train,False
8ejj_h0-l0,False,train,False
8fax_A0-B0,False,train,False
8fr6_D0-E0,False,train,False
8fr6_H0-L0,False,train,False
8fr6_J0-K0,False,train,False
8gb6_H0-L0,False,train,False
8gjm_D0-E0,False,train,False
8h8q_H0-L0,False,train,False
7e6p_H0-L0,False,train,False
4jn1_H0-L0,True,train,False
4jn2_B0-A0,True,train,False
4jn2_H0-L0,True,train,False
4zd3_H0-L0,True,train,False
4zff_A0-B0,True,unassigned,False
4zff_H0-L0,True,unassigned,False
4zfg_H0-L0,True,valid,False
4zfo_A0-B0,True,train,False
4zfo_H0-L0,True,train,False
4zpt_A0-B0,True,train,False
4zpt_H0-L0,True,train,False
4zpv_H0-L0,True,train,False
4zpv_A0-B0,True,train,False
4zso_D0-C0,True,train,False
4zso_B0-A0,True,train,False
4zto_I0-M0,True,train,False
4zto_H0-L0,True,train,False
4ztp_H0-L0,True,train,False
5a3i_C0-D0,True,train,False
5a3i_G0-H0,True,train,False
5aam_A0-A1,True,train,False
5aam_B0-B1,True,train,False
5aaw_A0-A1,False,train,False
5aaw_B0-B1,False,train,False
5aaw_D0-D1,False,train,False
5aaw_F0-F1,False,train,False
5aaw_H0-H1,False,train,False
5aaw_K0-K1,False,train,False
5alb_H0-L0,False,train,False
5alc_H0-L0,True,train,False
5anm_D0-C0,True,train,False
5anm_B0-A0,True,train,False
5anm_H0-L0,True,train,False
5awn_H0-L0,True,train,False
5az2_H0-L0,True,train,False
5e8d_H0-L0,True,train,False
5mvz_A0-B0,True,train,False
5mvz_H0-L0,True,train,False
5nuz_H0-L0,False,train,False
5nuz_A0-B0,False,train,False
6j71_B1-B0,True,train,False
8dtx_A0-B0,False,valid,False
8dtx_H0-L0,False,unassigned,False
4n8c_I0-M0,True,train,False
4n8c_H0-L0,True,train,False
7zxk_J0-I0,False,valid,False
7zxk_H0-L0,False,unassigned,False
7zyi_H0-L0,False,train,False
8a1e_D0-E0,False,train,False
8a1e_B0-C0,False,train,False
12e8_H0-L0,True,train,False
12e8_P0-M0,True,train,False
3juy_B0-B1,True,train,False
3juy_A0-A1,True,train,False
3juy_E0-E1,True,train,False
3juy_F0-F1,True,train,False
3juy_D0-D1,True,train,False
3juy_C0-C1,True,train,False
3kj4_C0-B0,True,train,False
3kj4_H0-L0,True,train,False
3kr3_H0-L0,True,train,False
3ks0_K0-J0,True,train,False
3ks0_H0-L0,True,train,False
3kyk_H0-L0,True,train,False
3kym_H0-G0,True,train,False
3kym_B0-A0,True,train,False
3kym_D0-C0,True,train,False
3kym_F0-E0,True,train,False
3kym_J0-I0,True,train,False
3kym_L0-K0,True,train,False
3kym_N0-M0,True,train,False
3kym_P0-O0,True,train,False
4lci_H0-L0,True,train,False
4r0l_A0-B0,True,train,False
4r0l_H0-L0,True,train,False
8d47_B0-A0,False,train,False
8d47_H0-L0,False,train,False
6n5e_H0-I0,True,train,False
6n5e_E0-D0,True,train,False
6n5e_G0-F0,True,train,False
6n6b_K0-L0,True,train,False
6n81_H0-L0,True,train,False
6n81_C0-D0,True,train,False
6n8d_D0-B0,True,train,False
6n8d_F0-E0,True,train,False
6nb3_H0-L0,True,train,False
6nb3_D0-E0,True,train,False
6nb5_H0-L0,True,train,False
6nb5_I0-M0,True,train,False
6nb8_H0-L0,True,train,False
6wir_A0-B0,True,train,False
6wio_A0-B0,True,train,False
7lo8_H0-L0,False,train,False
4d3c_H0-L0,True,train,False
4d9l_H0-L0,True,train,False
4d9l_I0-M0,True,train,False
4d9l_J0-N0,True,train,False
4d9l_K0-O0,True,train,False
4d9q_E0-D0,True,test,False
4d9q_H0-L0,True,unassigned,False
4d9r_H0-L0,True,unassigned,False
4d9r_E0-D0,True,unassigned,False
4dag_H0-L0,True,train,False
4oaw_D0-C0,True,train,False
4oaw_B0-A0,True,train,False
7lka_H0-L0,False,train,False
7lka_A0-B0,False,train,False
7lka_C0-D0,False,train,False
7lka_E0-F0,False,train,False
7swx_H0-L0,False,train,False
7sww_H0-L0,False,train,False
7syy_H0-L0,False,train,False
7syz_H0-L0,False,train,False
7t01_H0-L0,False,train,False
7t0l_H0-L0,False,train,False
7t0l_G0-K0,False,train,False
7t0w_H0-L0,False,train,False
7t0w_H20-L20,False,train,False
7t0z_H0-L0,False,train,False
7t1w_H0-L0,False,train,False
7t1w_H20-L20,False,train,False
7t1w_H30-L30,False,train,False
7t1w_H40-L40,False,train,False
7t1w_H50-L50,False,train,False
7t1x_H0-L0,False,train,False
7t1x_H20-L20,False,train,False
7t1x_H30-L30,False,train,False
7t1x_H40-L40,False,train,False
7t1x_H50-L50,False,train,False
5x8m_B0-C0,False,train,False
5xj4_H0-L0,True,train,False
5xaj_F0-D0,True,train,False
5xaj_E0-C0,True,train,False
7kmi_A0-B0,False,valid,False
7u8e_H0-L0,False,train,False
8c3v_H0-L0,False,train,False
8c3v_A0-B0,False,train,False
8c3v_C0-D0,False,train,False
3phq_B0-A0,True,train,False
3pho_B0-A0,True,train,False
5ggt_H0-L0,True,train,False
5ggu_H0-L0,True,valid,False
5ggu_A0-B0,True,unassigned,False
5ggv_H0-L0,True,unassigned,False
7lfb_H0-L0,False,valid,False
7lfd_H0-L0,False,unassigned,False
7shu_E0-F0,False,train,False
7shu_C0-D0,False,train,False
7shz_K0-L0,False,train,False
7shz_C0-D0,False,train,False
7shz_I0-J0,False,train,False
7shz_E0-F0,False,train,False
7six_H0-L0,False,train,False
7sj0_B0-L0,False,train,False
7sjm_H0-L0,False,train,False
7sjn_D0-E0,False,train,False
7sjn_F0-G0,False,train,False
7sjn_H0-L0,False,train,False
7sjo_E0-F0,False,train,False
7sjo_H0-L0,False,train,False
7sjo_I0-J0,False,train,False
7sjp_H0-L0,False,train,False
7sjs_H0-L0,True,test,True
7skz_H0-L0,False,test,False
7sl5_A0-B0,False,train,False
7sl5_D0-E0,False,train,False
7sl5_G0-H0,False,train,False
7sl5_J0-K0,False,train,False
7sn1_H0-L0,True,test,True
7ua2_H0-H1,False,train,False
7uap_H0-L0,False,train,False
7uaq_H0-L0,False,train,False
7uar_H0-L0,False,train,False
7uar_D0-E0,False,train,False
7uar_F0-G0,False,train,False
7uc8_H0-H1,False,train,False
7uc8_I0-I1,False,train,False
7uc8_J0-J1,False,train,False
7uce_H0-L0,False,train,False
7ucq_K0-K1,False,train,False
7ucq_H0-H1,False,train,False
7ucq_I0-I1,False,train,False
7ucq_J0-J1,False,train,False
7uel_H0-L0,False,train,False
7uem_H0-L0,False,train,False
7uem_D0-C0,False,train,False
7uen_H0-L0,False,train,False
7uhz_H0-L0,False,train,False
7uhz_I0-M0,False,train,False
7uhz_J0-N0,False,train,False
8cz8_A1-A0,False,train,False
8cz8_C1-C0,False,train,False
1mex_H0-L0,True,train,False
5vta_H0-L0,True,train,False
5vta_F0-E0,True,train,False
5vta_I0-G0,True,train,False
5vta_K0-J0,True,train,False
5vxr_H0-L0,True,train,False
6ncp_A0-B0,True,train,False
6ncp_C0-D0,True,train,False
6nfc_H0-L0,True,train,False
6oc7_H0-L0,True,train,False
7x7t_H0-L0,False,train,False
7x7t_A0-B0,False,train,False
7x7t_C0-D0,False,train,False
7x8p_F0-E0,False,train,False
7x8p_C0-B0,False,train,False
7x8w_H0-L0,False,train,False
7x93_E0-F0,False,train,False
7x96_H0-L0,False,train,False
7zfe_J0-K0,False,train,False
7zfe_F0-G0,False,train,False
7zfe_M0-N0,False,train,False
7zfe_H0-L0,False,train,False
7zff_H0-L0,False,train,False
8cge_A0-A1,False,train,False
8cge_B0-B1,False,train,False
4f3f_B0-A0,True,train,False
4f33_B0-A0,True,train,False
4f33_D0-C0,True,train,False
4f33_F0-E0,True,train,False
4f33_H0-G0,True,train,False
7ued_H0-L0,False,train,False
4v1d_D0-E0,True,train,False
4wcy_H0-L0,True,train,False
5vic_H0-L0,True,train,False
5vig_A0-B0,True,train,False
5vig_H0-L0,True,train,False
5vvf_H0-L0,True,train,False
5vjq_G0-H0,True,train,False
5vjq_A0-B0,True,train,False
5vjq_C0-D0,True,train,False
5vjq_E0-F0,True,train,False
5vk2_F0-G0,True,train,False
5vk2_H0-L0,True,train,False
5vk2_D0-E0,True,train,False
5vkk_H0-L0,True,train,False
5vkk_A0-B0,True,train,False
5vl3_A0-B0,True,train,False
5vl3_C0-D0,True,train,False
5vl3_E0-F0,True,train,False
5vl3_H0-L0,True,train,False
5vl7_H0-L0,True,train,False
1emt_H0-L0,True,train,False
4hs8_H0-L0,True,train,False
4ht1_H0-L0,True,train,False
4hwe_H0-L0,True,train,False
4hwb_H0-L0,True,train,False
4hxa_H0-L0,True,train,False
4hxb_H0-L0,True,train,False
4hzl_A0-B0,True,train,False
4hzl_H0-L0,True,train,False
4i18_A0-B0,True,train,False
4i18_H0-L0,True,train,False
4i2x_B0-A0,True,train,False
4i2x_D0-C0,True,train,False
3dif_B0-A0,True,train,False
3dif_D0-C0,True,train,False
4i77_H0-L0,True,train,False
4idj_H0-L0,True,train,False
4ij3_C0-B0,True,unassigned,False
8aon_B0-C0,False,valid,False
4j1u_B0-A0,True,train,False
4j1u_D0-C0,True,train,False
4j1u_F0-E0,True,train,False
4j4p_C0-D0,True,train,False
4j4p_H0-L0,True,train,False
4j6r_H0-L0,True,test,False
4j8r_D0-C0,True,train,False
4j8r_B0-A0,True,train,False
4jam_H0-L0,True,test,False
4jam_A0-B0,True,unassigned,False
4jan_H0-L0,True,unassigned,False
4jan_A0-B0,True,unassigned,False
4jb9_H0-L0,True,train,False
4jdt_H0-L0,True,train,False
4jdv_H0-L0,True,train,False
4jdv_A0-B0,True,train,False
5igx_H0-L0,True,train,False
4jfx_B0-A0,True,train,False
4jfx_H0-L0,True,train,False
4jfy_B0-A0,True,train,False
4jfy_H0-L0,True,train,False
4jfz_H0-L0,True,train,False
7m55_H0-L0,False,train,False
7m51_H0-L0,False,train,False
7m52_H0-L0,False,train,False
7m53_H0-L0,False,train,False
7mlh_E0-D0,False,train,False
7mlh_C0-A0,False,train,False
7su0_H0-L0,False,train,False
7su0_I0-M0,False,train,False
7su1_H0-L0,False,train,False
4jy5_H0-L0,True,train,False
5uty_H0-L0,True,train,False
4tvp_H0-L0,True,train,False
5fyj_H0-L0,False,train,False
5fyk_H0-L0,False,train,False
5fyl_H0-L0,True,train,False
5u7m_H0-L0,True,train,False
5u7o_H0-L0,True,train,False
5utf_H0-L0,True,train,False
7lx2_H0-L0,False,train,False
7lx2_N0-M0,False,train,False
7lx2_P0-O0,False,train,False
7lx3_H0-L0,False,train,False
7lx3_N0-M0,False,train,False
7lx3_P0-O0,False,train,False
7lxm_H0-L0,False,train,False
7lxm_N0-M0,False,train,False
7lxm_P0-O0,False,train,False
6b0n_H0-L0,True,train,False
6mpg_m0-n0,True,train,False
6mpg_50-60,True,train,False
6mpg_M0-N0,True,train,False
6ot1_m0-n0,True,train,False
6ot1_F0-I0,True,train,False
6ot1_Q0-R0,True,train,False
5dd0_H0-L0,True,train,False
5dd1_H0-L0,True,train,False
5dd3_H0-L0,True,train,False
5dd6_H0-L0,True,train,False
5dd6_A0-B0,True,train,False
5dd5_H0-L0,True,train,False
5dfv_C0-D0,False,train,False
5dfv_E0-F0,False,train,False
6ejg_C1-C0,False,train,False
6ejg_D1-D0,False,train,False
5dfw_H0-H1,True,train,False
5gkr_A0-B0,True,train,False
5gkr_C0-D0,True,train,False
5gks_A0-B0,True,train,False
5gks_C0-D0,True,train,False
5ik3_A0-B0,True,train,False
5ik3_C0-D0,True,train,False
5ijk_A0-C0,True,train,False
5ijk_B0-D0,True,train,False
7ui1_H0-H1,False,train,False
7ui1_I0-I1,False,train,False
7ui1_J0-J1,False,train,False
7ui1_K0-K1,False,train,False
8gv5_C0-D0,False,train,False
7wvd_G0-H0,False,train,False
7wvd_I0-J0,False,train,False
7wvg_C0-D0,False,train,False
8gv7_C0-D0,False,train,False
8gv4_A0-B0,False,train,False
8gv4_C0-D0,False,train,False
8gv6_I0-J0,False,train,False
8gv6_G0-H0,False,train,False
3nfp_A0-B0,True,train,False
3nfp_H0-L0,True,train,False
3nfs_H0-L0,True,train,False
5eii_H0-L0,True,train,False
5eii_A0-B0,True,train,False
6c6x_C0-D0,True,train,False
6c6x_A0-B0,True,train,False
6c6x_E0-F0,True,train,False
6c6x_H0-L0,True,train,False
6c6y_A0-B0,True,train,False
6c6y_H0-L0,True,train,False
6db5_I0-M0,True,train,False
6db5_H0-L0,True,train,False
6db6_H0-L0,True,train,False
6db7_H0-L0,True,train,False
6db7_I0-M0,True,train,False
6dc3_H0-L0,True,train,False
6dc4_H0-L0,True,test,False
6dc5_B0-C0,True,unassigned,False
6dc5_E0-F0,True,unassigned,False
6dc5_H0-I0,True,unassigned,False
6dc7_H0-L0,True,train,False
6dc7_I0-M0,True,train,False
6dc8_H0-L0,True,train,False
6dc9_I0-M0,True,train,False
6dc9_H0-L0,True,train,False
6dca_I0-M0,True,train,False
6dca_J0-N0,True,train,False
6dca_H0-L0,True,train,False
6dca_K0-O0,True,train,False
6dcq_H0-L0,True,train,False
6dcq_M0-N0,True,train,False
4nug_H0-L0,True,train,False
6dcv_H0-L0,True,test,False
6dcv_B0-A0,True,unassigned,False
6dcw_H0-L0,True,unassigned,False
6gk7_H0-L0,True,train,False
6ddm_B0-A0,True,train,False
6ddr_B0-A0,True,train,False
6ddv_B0-A0,True,train,False
6dez_H0-L0,True,train,False
6dez_B0-A0,True,train,False
6df0_H0-L0,True,train,False
6df1_H0-L0,True,train,False
6gxx_H0-L0,True,train,False
6hx4_H0-L0,True,train,False
6hx4_I0-M0,True,train,False
6x78_B0-A0,True,train,False
6x78_H0-L0,True,train,False
7lkh_H0-L0,True,train,False
7lkf_H0-L0,True,train,False
7txw_H0-L0,False,train,False
7u5b_H0-L0,False,train,False
7u5b_A0-B0,False,train,False
8c7h_L0-K0,False,train,False
7z0x_H0-L0,True,test,True
7z0y_H0-L0,False,train,False
7z12_B0-C0,False,train,False
7zrc_H0-L0,False,train,False
7zrc_F0-G0,False,train,False
7zrc_J0-K0,False,train,False
8g5f_J0-K0,False,train,False
8foi_H0-L0,False,train,False
8foi_J0-K0,False,train,False
8g5g_H0-L0,False,train,False
8g5h_J0-K0,False,train,False
8g4n_H0-L0,False,train,False
8g4n_J0-K0,False,train,False
8g4o_H0-L0,False,train,False
8g4o_J0-K0,False,train,False
8g4x_H0-L0,False,train,False
1cgs_H0-L0,True,train,False
2cgr_H0-L0,True,train,False
1cic_B0-A0,True,train,False
2w60_A0-B0,True,train,False
2w65_A0-B0,False,train,False
2w65_C0-D0,False,train,False
2zjs_H0-L0,True,train,False
3kdm_B0-A0,True,train,False
3kdm_H0-L0,True,train,False
6wiy_H0-L0,True,train,False
7cj2_K0-L0,True,train,False
7cj2_C0-D0,True,train,False
7jlk_H0-L0,False,train,False
7jlk_A0-B0,False,train,False
6ol7_C0-B0,True,train,False
6ol7_I0-F0,True,train,False
6ol7_H0-L0,True,train,False
6ol7_M0-N0,True,train,False
4jpi_A0-B0,True,train,False
4jpi_H0-L0,True,train,False
4jpk_H0-L0,False,train,False
6mft_H0-L0,True,train,False
6mft_A0-B0,True,train,False
6xoc_H0-L0,True,train,False
7jln_H0-L0,True,train,False
7jxd_A0-B0,False,train,False
7jxd_C0-D0,False,train,False
7jvc_H0-L0,False,train,False
7jvc_C0-D0,False,train,False
7jvc_F0-G0,False,train,False
7k3q_H0-L0,True,valid,False
7k4n_H0-L0,True,unassigned,False
7k4n_C0-D0,True,unassigned,False
7k4n_F0-G0,True,unassigned,False
7kba_A0-B0,True,train,False
7kba_H0-L0,True,train,False
5vob_H0-L0,True,train,False
7t4s_H0-I0,False,train,False
7kzb_H0-L0,True,train,False
8eoo_A0-B0,False,train,False
8eoo_F0-K0,False,train,False
7t72_H0-L0,False,train,False
7u09_H0-L0,False,train,False
7vaz_D0-C0,False,train,False
7vaz_B0-A0,False,train,False
7vaz_H0-F0,False,train,False
7v8q_B0-A0,False,train,False
7v8q_D0-C0,False,train,False
7v8q_F0-E0,False,train,False
7vac_B0-A0,False,train,False
7vac_D0-C0,False,train,False
7vac_F0-E0,False,train,False
7vux_H0-L0,True,test,True
7w7q_B0-B1,False,train,False
7w7q_A0-A1,False,train,False
8dnn_E0-F0,False,train,False
8dnn_B0-C0,False,train,False
8f5i_X0-Y0,False,test,False
8f5i_H0-L0,False,unassigned,False
8g1b_C0-D0,False,train,False
8g1b_A0-B0,False,train,False
8sgj_H0-L0,False,train,False
4hg4_V0-W0,True,train,False
4hg4_X0-Y0,True,train,False
4hg4_J0-K0,True,train,False
4hg4_R0-S0,True,train,False
4hg4_T0-U0,True,train,False
4hg4_Z0-z0,True,train,False
4hg4_L0-M0,True,train,False
4hg4_N0-O0,True,train,False
4hg4_P0-Q0,True,train,False
5xcq_A0-B0,True,train,False
5xcr_A0-B0,True,train,False
5xcr_D0-E0,True,train,False
2zpk_H0-L0,True,train,False
2zpk_I0-M0,True,train,False
5xct_A0-B0,True,train,False
6a67_C0-D0,True,train,False
6a67_H0-L0,True,train,False
7df1_H0-L0,False,train,False
7df1_E0-I0,False,train,False
7df1_F0-J0,False,train,False
7df1_G0-K0,False,train,False
7dm1_F0-E0,False,train,False
7dm1_D0-C0,False,train,False
7uzd_H0-L0,False,train,False
6ivz_H0-L0,True,train,False
6iw2_B0-C0,True,train,False
6iw2_E0-F0,True,train,False
6iw2_H0-I0,True,train,False
6iw2_K0-L0,True,train,False
6iw2_N0-O0,True,train,False
6iw2_Q0-R0,True,train,False
6srv_III0-MMM0,True,train,False
6srv_HHH0-LLL0,True,train,False
6tnp_B0-A0,True,train,False
6tnp_D0-C0,True,train,False
6tnp_F0-E0,True,train,False
6tnp_I0-G0,True,train,False
6tnp_K0-J0,True,train,False
6tnp_H0-L0,True,train,False
6tul_HHH0-LLL0,True,train,False
6txz_H0-L0,True,train,False
6txz_I0-M0,True,train,False
6txz_J0-N0,True,train,False
6txz_K0-O0,True,train,False
6tyb_H0-L0,True,train,False
6tys_H0-L0,True,train,False
6tys_F0-G0,True,train,False
6tys_C0-D0,True,train,False
6u1t_H0-L0,True,train,False
6u02_H0-L0,True,train,False
6u02_D0-C0,True,train,False
6u02_G0-F0,True,train,False
6u02_K0-I0,True,train,False
6pzf_F0-E0,True,train,False
6pzf_H0-L0,True,train,False
6u0l_H0-L0,False,train,False
6u0l_I0-J0,False,train,False
6u0l_P0-Q0,False,train,False
6u0n_H0-L0,False,train,False
6u0n_I0-J0,False,train,False
6u0n_P0-Q0,False,train,False
1rzf_H0-L0,True,train,False
6u3z_A0-B0,True,train,False
6u3z_C0-D0,True,train,False
6xsn_H0-L0,True,train,False
6u6m_H0-L0,True,train,False
6u6o_H0-L0,True,train,False
6u6u_H0-L0,True,train,False
6u8d_H0-L0,True,train,False
6ubi_D0-E0,True,train,False
6ubi_A0-B0,True,train,False
6uc5_H0-L0,False,train,False
6uce_H0-L0,True,test,False
6wm9_E0-F0,True,train,False
6wm9_B0-C0,True,train,False
6wmw_H0-L0,True,train,False
6wmw_M0-N0,True,train,False
6wn1_E0-F0,True,train,False
6wn1_B0-C0,True,train,False
6wzk_A0-B0,False,train,False
6wzk_C0-D0,False,train,False
6wzm_A0-B0,False,train,False
6wzm_C0-D0,False,train,False
6wzl_A0-B0,False,train,False
6wzl_C0-D0,False,train,False
6xkp_M0-N0,True,train,False
6xkp_H0-L0,True,train,False
6xkq_H0-L0,True,train,False
6xkr_H0-L0,True,train,False
6xlq_E0-F0,True,train,False
6xlq_K0-L0,True,train,False
6xlq_B0-C0,True,train,False
6xlq_H0-I0,True,train,False
8dy3_A0-A1,False,test,False
1mlb_B0-A0,True,train,False
1mlc_B0-A0,False,train,False
1mlc_D0-C0,False,train,False
1mrc_H0-L0,True,train,False
1mrd_H0-L0,True,train,False
1mre_H0-L0,True,train,False
1mrf_H0-L0,True,train,False
5esv_A0-B0,True,train,False
5esv_C0-D0,True,train,False
5esv_H0-L0,True,train,False
7u8c_H0-L0,True,test,True
7yrn_D0-E0,False,train,False
7yrn_F0-G0,False,train,False
7yrn_H0-I0,False,train,False
7yru_H0-L0,False,train,False
8fan_A0-B0,False,train,False
8fan_C0-D0,False,train,False
1dfb_H0-L0,True,unassigned,False
7n07_H0-L0,False,unassigned,False
7n08_H0-L0,False,unassigned,False
7n08_A0-B0,False,valid,False
7n08_C0-D0,False,unassigned,False
1frg_H0-L0,True,train,False
6uuh_A0-B0,True,train,False
6uuh_C0-D0,True,train,False
6x4t_D0-F0,True,train,False
6x4t_B0-E0,True,train,False
7keo_E0-F0,True,train,False
7keo_A0-B0,True,train,False
7lcv_A0-B0,False,test,False
7myt_H0-L0,False,train,False
7myt_A0-B0,False,train,False
7rew_A0-B0,False,train,False
7rew_H0-L0,False,train,False
7rm3_A0-B0,False,train,False
7rm3_C0-D0,False,train,False
7rm0_A0-B0,False,train,False
7rm0_C0-D0,False,train,False
7rm0_E0-F0,False,train,False
7rm0_G0-H0,False,train,False
7rm1_A0-B0,False,train,False
